id	sentence	implicit_ops_added
228298	Logic is a systematic method of coming to the wrong conclusion with confidence.\n	((k Logic.n) \n ((pres be.v) \n  (= (a.d (systematic.a \n           (method-of.n (ka (come.v (to.p-arg (the.d (wrong.a conclusion.n))) \n                                    (adv-a (with.p (k confidence.n)))))))))))
228299	Cole's Axiom: The sum of the intelligence on the planet is a constant; the population is growing.\n	(np+preds ((|Cole| 's) |Axiom|.n) \n (= (tht (((The.d (sum-of.n (the.d (n+preds intelligence.n \n                            \t\t(on.p (the.d planet.n)))))) \n   ((pres be.v) (= (a.d constant.n)))) \n ((the.d (population-of.n *ref)) ((pres prog) grow.v))))))
228301	If you see a man approaching you with the obvious intention of doing you good, you should run for your life.\n	((If.ps (you.pro ((pres see.v) \n                  (a.d (n+preds man.n \n                               \t (approach.v you.pro \n                                             (adv-a (with.p (the.d (obvious.a \n                                                      (intention.n (of.p-arg (ka (do.v you.pro good.adv-a))))))))))))))\n (you.pro ((pres should.aux-v) (run.v (adv-a (for.p (your.d life.n)))))))
228302	We learn from experience that men never learn anything from experience.\n	(We.pro ((pres learn.v) \n         (adv-a (from.p (k experience.n))) \n         (that ((k (plur man.n)) never.adv-f ((pres learn.v) anything.pro \n                                              \t\t  (adv-a (from.p (k experience.n))))))))
228305	The early bird catches the worm.\n	((The-gen.d (early.a bird.n)) ((pres catch.v) (the-gen.d worm.n)))
228306	In life there are ups and downs.\n	((adv-e (In.p (k life.n))) \n (there.pro ((pres be.v) ((plur up.n) and.cc (plur down.n)))))
228307	All cats are grey in the dark.\n	((All.d (plur cat.n)) ((pres be.v) grey.a (adv-e (in.p (the.d dark.n)))))
228308	Teach me how you do it.\n	(({you}.pro ((pres Teach.v) me.pro \n            \t\t\t   (ans-to (sub how.pq \n                                    \t(you.pro ((pres do.v) it.pro *h)))))) !)
228309	No news is good news.\n	((No.d news.n) ((pres be.v) (good.a news.n)))
228310	Wealth comes to those who make things happen, not to those who let things happen.\n	(((k Wealth.n) ((pres come.v) \n                (adv-a (to.p (np+preds those.pro \n                                 (who.rel ((pres make.v) (k (plur thing.n)) happen.v))))))) {and}.cc\n ((k {wealth}.n) ((pres {come}.v) not (adv-a (to.p (np+preds those.pro\n                   \t\t\t(who.rel ((pres let.v) (k (plur thing.n)) happen.v))))))))
228311	If you think education is expensive, wait till you see what ignorance costs you.\n	((If.ps (you.pro ((pres think.v) (tht ((k education.n) ((pres be.v) expensive.a))))))\n (({you}.pro ((pres wait.v) \n              (till.ps (you.pro ((pres see.v) \n                                 (ans-to (sub what.pro ((k ignorance.n) \n                                                        ((pres cost.v) you.pro *h))))))))) !))
228312	I was expecting it!\n	(I.pro ((past prog) (expect.v it.pro)))
228313	The world is divided into people who get things done, and people who get the credit.\n	((The.d world.n) ((pres be.v) \n                  (divide.a \n                  (into.p-arg (set-of (k (n+preds (plur person.n) \n                                           \t\t   (who.rel ((pres get.v) (k (plur thing.n)) done.a)))) \n\t\t\t\t\t\t\t\t\t  (k (n+preds (plur person.n) \n                                          \t\t\t(who.rel ((pres get.v) (the.d credit.n))))))))))
228314	I don't expect anything from you.\n	(I.pro ((pres do.aux-s) not \n        (expect.v anything.pro \n         \t\t  (from.p-arg you.pro))))
228317	People who will lie for you, will lie to you.\n	((k (n+preds (plur Person.n) \n     \t\t (who.rel ((pres will.aux-s) (lie.v (adv-a (for.p you.pro))))))) \n ((pres will.aux-s) (lie.v (adv-a (to.p you.pro)))))
228318	There's no doubt.\n	(There.pro ((pres be.v) (= (no.d doubt.n))))
228319	There isn't any solution.\n	(There.pro ((pres be.v) not (= (any.d solution.n))))
228321	I didn't know he drank so much.\n	(I.pro ((past do.aux-s) not \n        (know.v (tht (he.pro ((past drink.v) (adv-a (so.adv-a much.a))))))))
228323	It's well done.\n	(It.pro ((pres be.v) (well.adv-a done.a)))
228324	Do you want fruit juice?\n	(((pres Do.aux-s) you.pro (want.v ({some}.d (fruit.n juice.n)))) ?)
228325	He's a good person.\n	(He.pro ((pres be.v) (= (a.d (good.a person.n)))))
228327	Enjoy your meal!\n	(({you}.pro ((pres Enjoy.v) (your.d meal.n))) !)
228328	There's no love without jealousy.\n	(There.pro ((pres be.v) (= (no.d (n+preds love.n\n                                  \t\t   (without.p (k jealousy.n)))))))
228330	There was not a bloody soul.\n	(There.pro ((past be.v) not (= (a.d (bloody.a soul.n)))))
228331	We are cut from the same cloth.\n	(We.pro ((pres be.v) (cut.v (from.p-arg (the.d (same.a cloth.n))))))
228332	The walls have ears.\n	((The.d (plur wall.n)) ((pres have.v) (k (plur ear.n))))
228333	I've got a frog in my throat.\n	(I.pro ((pres perf) (get.v (a.d frog.n) (in.p (my.d throat.n)))))
228334	Make yourself at home.\n	(({you}.pro ((pres Make.v) yourself.pro (at.p (k home.n)))) !)
228335	Nothing great has been achieved by playing it safe.\n	((np+preds Nothing.pro great.a) \n ((pres perf) ((pasv achieve.v) (by.p-arg (ka ((play.v it.pro) (adv-a safe.a)))))))
228336	In general, little is known about nonlinear second order differential equations.\n	(In_general.adv-s\n (little.pro ((pres (pasv know.v)) \n              (about.p-arg (nonlinear.a ((second.a order.n) (differential.a (plur equation.n))))))))
228338	At this stage there is still not a clear energy policy for bringing decentralised power to rural areas.\n	((adv-e (At.p (this.d stage.n))) \n (there.pro ((pres be.v) still.adv-s not \n             (= (a.d (n+preds (clear.a (energy.n policy.n)) \n \t\t\t\t\t\t   (for.p (ka (bring.v (decentralised.a power.n) \n                                       \t\t   (adv-a (to.p (k (rural.a (plur area.n))))))))))))))
228339	Why aren't you coming with us?\n	((sub Why.adv-s ((pres prog) not you.pro (come.v (adv-a (with.p us.pro)) *h))) ?)
228340	I can't say the opposite.\n	(I.pro ((pres can.aux-v) not (say.v (the.d opposite.n))))
228342	Don't listen to him, he's talking nonsense.\n	((({you}.pro ((pres Do.aux-s) not \n              (listen.v (to.p-arg him.pro)))) !) \n (he.pro ((pres prog) (talk.v (k nonsense.n)))))
228343	You can't get lost in big cities; there are maps everywhere!\n	((You.pro ((pres can.aux-v) not \n           (get.v lost.a \n            \t  (adv-e (in.p (k (big.a (plur city.n))))))))\n (there.pro (((pres be.v) (plur map.n)) \n             everywhere.adv-e)))
228344	We are sorry, the person you are trying to contact is not available.\n	((We.pro ((pres be.v) sorry.a))\n ((the.d (n+preds person.n \n          \t      (sub tht.rel (you.pro ((pres prog) (try.v (to (contact.v *h)))))))) \n  ((pres be.v) not available.a)))
228345	I don't want it anymore.\n	(I.pro ((pres do.aux-s) not \n        (want.v it.pro \n         \t\tanymore.adv-s)))
228346	He came several times.\n	((He.pro (past come.v)) (adv-f ({at}.p (several.d (plur time.n)))))
228347	We wonder why.\n	(We.pro ((pres wonder.v) (ans-to (why.adv-s {ref}.sent))))
228348	We must think about friends.\n	(We.pro ((pres must.aux-v) \n         (think.v (about.p-arg (k (plur friend.n))))))
228350	It was raining when we left, but by the time we arrived, it was sunny.\n	((It.pro ((past prog) (rain.v (when.ps (we.pro (past leave.v))))))\n but.cc \n ((adv-e (by.p (the.d (n+preds time.n \n                       \t\t   (sub ({at}.p {which}.rel) \n                                \t(we.pro ((past arrive.v) (adv-e *h)))))))) \n  (it.pro ((past be.v) sunny.a))))
228351	We left by train.\n	(We.pro ((past leave.v) (adv-a (by.p (k train.n)))))
228353	I don't know if he would have done it for me.\n	(I.pro ((pres do.aux-s) not \n        (know.v (whether (he.pro ((cf will.aux-s) (perf (do.v it.pro (adv-a (for.p me.pro))))))))))
228354	Would you like to come?\n	(((pres Would.aux-s) you.pro (like.v (to come.v))) ?)
228355	I knew he would accept.\n	(I.pro ((past know.v) (tht (he.pro ((past will.aux-s) (accept.v {ref1}.pro))))))
228356	She would willingly come but she was on vacation.\n	((She.pro ((cf will.aux-s) (willingly.adv-a come.v))) but.cc \n (she.pro ((past be.v) (on.p (k vacation.n)))))
228357	I thought it was true.\n	(I.pro ((past think.v) (tht (it.pro ((past be.v) true.a)))))
228358	This is the town I told you about.\n	(This.pro ((pres be.v) \n           (= (the.d (n+preds town.n \n                  \t\t      (sub tht.rel (I.pro ((past tell.v) you.pro (about.p-arg *h)))))))))
228359	This is the boy I think about.\n	(This.pro ((pres be.v) \n           (= (the.d (n+preds boy.n \n                              (sub tht.rel (I.pro ((pres think.v) (about.p-arg *h)))))))))
228360	He has been warned on several occasions.\n	((He.pro ((pres perf) (pasv warn.v))) \n (adv-e (on.p (several.d (plur occasion.n)))))
228361	I have to give back the book before Saturday.\n	(I.pro ((pres have.v) \n        (to (give.v back.adv-a \n             \t    (the.d book.n) \n                    (adv-e (before.p |Saturday|))))))
228363	Hi, I just wanted to let you know that the problem is fixed.\n	(Hi.gr\n (I.pro (just.adv-s ((past want.v) \n                     (to (let.v you.pro \n                                (know.v (that ((the.d problem.n) ((pres be.v) fixed.a))))))))))
228364	How can you have a laptop and not a cell phone?\n	((sub How.pq \n      ((pres can.aux-v) you.pro \n       (have.v ((a.d laptop.n) and.cc (not (a.d (cell.n phone.n))))\n               *h))) ?)
228365	I went to drink a beer with friends.\n	(I.pro ((past go.v) \n        (adv-a ({for}.p (to (drink.v (a.d beer.n) \n                             \t\t (adv-a (with.p (k (plur (friend-of.n *s)))))))))))
228366	He jumped out the window.\n	(He.pro ((past jump.v) (adv-a (out.p (the.d window.n)))))
228367	Yesterday we had fun.\n	(Yesterday.adv-e (we.pro ((past have.v) (k fun.n))))
228368	They quarreled.\n	(They.pro (past quarrel.v))
228369	I ate caviar.\n	(I.pro ((past eat.v) (k caviar.n)))
228370	He changed a lot since the last time.\n	(He.pro ((past change.v) a_lot.adv-a\n                         (adv-a (since.p (the.d (last.a time.n))))))
228371	This knife was very useful to me.\n	((This.d knife.n) ((past be.v) (very.adv-a useful.a) \n                               (adv-a (to.p me.pro))))
228372	You took the wrong key.\n	(You.pro ((past take.v) (the.d (wrong.a key.n))))
228373	I managed to get in.\n	(I.pro ((past manage.v) (to (get.v (in.p {ref}.pro)))))
228374	How much is it?\n	((sub (How.adv-a much.a) \n      ((pres be.v) it.pro *h)) ?)
228375	I'll bring you the bill immediately.\n	(I.pro ((pres will.aux-s) \n        (bring.v you.pro \n                 (the.d bill.n) \n                 immediately.adv-e)))
228378	Did you leave a tip?\n	(((past do.aux-s) you.pro (leave.v (a.d tip.n))) ?)
228379	Don't forget the ticket.\n	(({you}.pro ((pres do.aux-s) not.adv-s (forget.v (the.d ticket.n)))) !)
228380	I'm sorry, I don't have change.\n	((I.pro ((pres be.v) sorry.a)) (I.pro ((pres do.aux-s) not.adv-s (have.v (k change.n)))))
228383	They don't even know why.\n	(They.pro ((pres do.aux-s) not.adv-s (even.adv-a (know.v (why.adv-s {ref1}.sent)))))
228384	I want you to tell me the truth.\n	(I.pro ((pres want.v) you.pro (to (tell.v me.pro (the.d truth.n)))))
228385	You arrived at the moment I left.\n	(You.pro ((past arrive.v) (adv-e (at.p (the.d \n                                        (n+preds \n                                         moment.n \n                                         (sub {when}.rel (I.pro ((past leave.v) *h)))))))))
228386	Muiriel likes to annoy me lately.\n	(|Muiriel| ((pres like.v) (to (annoy.v me.pro lately.adv-e))))
228387	It's not serious, I don't bear him a grudge.\n	((It.pro ((pres be.v) not.adv-s serious.a)) \n {and}.cc (I.pro ((pres do.aux-s) not.adv-s (bear.v him.pro (a.d grudge.n)))))
228388	Who is coming with me?\n	((Who.pro (((pres prog) come.v) (adv-a (with.p me.pro)))) ?)
228389	I want to know who is coming with us.\n	(I.pro ((pres want.v) (to (know.v (ans-to (who.pro (((pres prog) come.v) (adv-a (with.p us.pro)))))))))
228390	Florence is the most beautiful city in Italy.\n	(|Florence| ((pres be.v) (= (the.d (most-n beautiful.a (n+preds city.n (in.p |Italy|)))))))
228391	On your feet, children!\n	((sub (On.p-arg (your.d (plur foot.n))) ((k (plur child.n)) ((pres {get}.v) *h ))) !)
228392	I talked to friends.\n	(I.pro ((past talk.v) (to.p-arg (k (plur friend.n)))))
228394	This girl changed her look.\n	((This.d girl.n) ((past change.v) (her.d look.n)))
228395	The film lasted 2 hours.\n	((The.d film.n) ((past last.v) (2.d (plur hour.n))))
228396	I'm glad to see you back.\n	(I.pro ((pres be.v) (glad.a (to (see.v you.pro back.adv-a)))))
228397	You changed a lot.\n	(You.pro ((past change.v) a_lot.adv-a))
228398	Those who know him like him.\n	((Those.d (n+preds (plur {person}.n) (who.rel ((pres know.v) him.pro)))) ((pres like.v) him.pro))
228399	Tell me what happened.\n	(({you}.pro ((pres tell.v) me.pro (ans-to (what.pro (past happen.v))))) !)
228400	They are sensible girls.\n	(They.pro ((pres be.v) (sensible.a (plur girl.n))))
228401	How beautiful you are!\n	(sub (How.adv-a beautiful.a) (you.pro ((pres be.v) *h)))
228403	You must work more.\n	(You.pro ((pres must.aux-v) (work.v more.adv-a)))
228405	He told me he would go to Venice.\n	(He.pro ((past tell.v) me.pro (tht (He.pro ((past will.aux-s) (go.v (to.p-arg |Venice|)))))))
228406	Who are those guys?\n	((sub who.pro ((those.d (plur guy.n)) ((pres be.v) (= *h)))) ?)
228407	I don't agree with him.\n	(I.pro ((pres do.aux-s) not.adv-s (agree.v (with.p-arg him.pro))))
228408	The spirit is willing, but the flesh is weak.\n	(((The.d spirit.n) ((pres be.v) willing.a)) (but.ps ((the.d flesh.n) ((pres be.v) weak.a))))
228410	It seems to me that the train is late.\n	(It.pro ((pres seem.v) (adv-a (to.p me.pro)) (that ((the.d train.n) ((pres be.v) late.a)))))
228412	I don't know if I'll have time to do it.\n	(I.pro ((pres do.aux-s) not.adv-s (know.v (whether (I.pro ((pres will.aux-s) (have.v (k time.n) (to (do.v it.pro)))))))))
228413	Ask Trang if he's going out this evening.\n	(({you}.pro ((pres ask.v) |Trang| (whether (he.pro ((pres prog) (go_out.v (this.d evening.n))))))) !)
228415	In a town you may pass unnoticed, whereas in a village it's impossible.\n	((sub (adv-a (In.p (a.d town.n))) (you.pro ((pres may.aux-s) (pass.v unnoticed.a *h)))) \n (whereas.ps \n  (sub (adv-a (in.p (a.d village.n))) (it.pro ((pres be.v) impossible.a *h)))))
228416	Who said that? It's totally wrong!\n	((Who.pro ((past say.v) that.pro)) ?)\n(It.pro ((pres be.v) (totally.adv-a wrong.a)))
228418	Wolves won't usually attack people.\n	((k (plur wolf.n)) ((pres will.aux-s) not.adv-s usually.adv-f (attack.v (k (plur person.n)))))
228419	"Can somebody help me?" "I will."\n	(\\" (((pres Can.aux-s) somebody.pro (help.v me.pro)) ?) \\")\n(\\" (I.pro ((pres will.aux-s) {help}.v)) \\")
228421	You've given me your cold.\n	(you.pro (((pres perf) give.v) me.pro (your.d cold.n)))
228422	Ah! If I were rich, I'd buy myself a house in Spain.\n	(Ah.x ((If.ps (I.pro ((cf be.v) rich.a)))\n       (I.pro ((pres would.aux-s) (buy.v myself.pro (a.d (n+preds house.n (in.p |Spain|))))))))
228423	I wish she would stop playing that stupid music.\n	(I.pro ((pres wish.v) (tht (she.pro ((pres would.aux-s) (stop.v (ka (play.v (that.d (stupid.a music.n))))))))))
228424	I hope he'll be able to come! I'd like to see him.\n	(I.pro ((pres hope.v) (tht (he.pro ((pres will.aux-s) (be.v (able.a (to come.v))))))))\n(I.pro ((pres would.aux-s) (like.v (to (see.v him.pro)))))
228425	They will never accept; it's too far.\n	((They.pro ((pres will.aux-s) never.adv-e accept.v)) (it.pro ((pres be.v) (too.adv-a far.a))))
228426	Her garden is a work of art.\n	((Her.d garden.n) ((pres be.v) (= (a.d (n+preds work.n (of.p (k art.n)))))))
228428	Water freezes at zero degrees Celsius, doesn't it?\n	(((k Water.n) ((pres freeze.v) (at.p-arg (zero.d ((plur degree.n) |Celsius|))))) .?)
228432	Forget it. It's not worth it.\n	(({you}.pro ((pres forget.v) it.pro)) !)\n (It.pro ((pres be.v) not.adv-s (worth.v it.pro)))
228433	We're going to eat a lot tonight so I hope you're not on a diet.\n	((We.pro ((pres be.v) (going_to.v eat.v (a.d lot.n) tonight.adv-e))) \n (so.ps (I.pro ((pres hope.v) (tht (you.pro ((pres be.v) not.adv-s (on.p (a.d diet.n)))))))))
228434	For once in my life I'm doing a good deed... And it is useless.\n	((sub (adv-a (For.p (k (n+pred once.n (in.p (my.d life.n)))))) (I.pro ((pres prog) do.v) (a.d (good.a deed.n)) *h))\n and.cc \n (it.pro ((pres be.v) useless.a)))
228435	You need not telephone me.\n	(You.pro ((pres need.aux-v) not.adv-s (telephone.v me.pro)))
228436	Brian repeatedly told Chris that he owed him a pretty large amount of money.\n	(|Brian| (repeatedly.adv-a ((past tell.v) |Chris| (that (he.pro ((past owe.v) him.pro (a.d ((pretty.adv-a large.a) (n+preds amount.n (of.p (k money.n)))))))))))
228437	How dare you say such a thing to me?\n	((sub How.pq \n  ((pres dare.aux-v) you.pro \n   (((say.v (such.d (= (a.d thing.n)))) (adv-a (to.p me.pro))) *h))) ?)
228438	You ask me to do the impossible.\n	(You.pro ((pres ask.v) me.pro (to (do.v (the.d (impossible.a {deed}.n))))))
228439	I brought you a little something.\n	(I.pro ((past bring.v) you.pro (a.d (little.a something.n))))
228479	He's moving in with his girlfriend.\n	(he.pro ((pres prog) (move_in.v (with.p-arg (his.d girlfriend.n)))))
228480	I'm going to sit on the bench over there next to the street lamp.\n	(i.pro ((pres prog) (go.v (to (sit.v (adv-a (on.p (the.d (n+preds bench.n (over.p there.pro) (next_to.p (the.d (street.n lamp.n))))))))))))
228481	I have to write a letter. Do you have some paper?\n	((i.pro ((pres have.v) (to (write.v (a.d letter.n))))) (((pres do.aux-s) you.pro (have.v (some.d paper.n))) ?))
228482	Could you do me a favour please?\n	(((pres could.aux-s) you.pro (do.v me.pro (a.d favour.n) please.adv-s)) ?)
228483	No, I'm not mad at you, I'm just disappointed.\n	((no.yn (i.pro ((pres be.v) not.adv-s mad.a (adv-a (at.p you.pro))))) (i.pro ((pres be.v) (just.adv-a disappointed.a))))
228484	She is mad at me.\n	(she.pro ((pres be.v) mad.a (adv-a (at.p me.pro))))
228485	I can't believe my eyes.\n	(i.pro ((pres can.aux-v) not (believe.v (my.d (plur eye.n)))))
228486	I couldn't say when exactly in my life it occurred to me that I would be a pilot someday.\n	(i.pro ((pres could.aux-v) not (say.v (ans-to\n\t(sub (adv-e (at-time.p (exactly.adv-s (np+preds which.pro (in.p (my.d life.n))))))\n     (it.pro ((past occur.v) (to.p-arg me.pro) (that (i.pro ((past will.aux-s) (be.v (= (a.d pilot.n)) someday.adv-e)))) *h)))))))
228488	She has always done her best to make their life easier.\n	(she.pro (always.adv-s ((pres perf) (do.v (her.d best.n) (to (make.v (their.d life.n) easier.a))))))
228489	I've got mosquito bites all over my arm.\n	(i.pro ((pres perf) (got.v (mosquito.n (plur bite.n)) (adv-a (all_over.p (my.d arm.n))))))
228490	During winter I sleep with two blankets.\n	(sub (during.p (k winter.n)) (i.pro ((pres sleep.v) (adv-a (with.p (two.d (plur blanket.n)))) (adv-e *h))))
228491	"Do you have any siblings?" "No, I'm an only child."\n	((((pres do.aux-s) you.pro (have.v (any.d (plur sibling.n)))) ?) (no.yn (i.pro ((pres be.v) (= (an.d (only.a child.n)))))))
228492	Her eyes were shining with joy.\n	((her.d (plur eye.n)) ((past prog) (shine.v (adv-a (with.p (k joy.n))))))
228493	You are to come with me.\n	((you.pro ((pres be-to.aux-v) (come.v (with.p-arg me.pro)))) !)
228494	You have to come with me.\n	((you.pro ((pres have.v) (to (come.v (with.p me.pro))))) !)
228495	Are you angry at what I said?\n	((sub (pres be.v) (you.pro (*h angry.a (adv-a (at.p (ans-to (sub what.pro (i.pro ((past say.v) *h))))))))) ?)
228496	Can you justify the use of violence?\n	(((pres can.aux-s) you.pro (justify.v (the.d (n+preds use.n (of.p (k violence.n)))))) ?)
228497	You are a busy man, so I will adjust myself to your schedule.\n	((you.pro ((pres be.v) (= (a.d (busy.a man.n))))) (so.ps (i.pro ((pres will.aux-s) (adjust.v myself.pro (to.p-arg (your.d schedule.n)))))))
228499	Can you do bookkeeping?\n	(((pres can.aux-v) you.pro (do.v (ka bookkeep.v))) ?)
228500	You have no sense of direction.\n	(you.pro ((pres have.v) (no.d (n+preds sense.n (of.p (k direction.n))))))
228501	You must practice grammar.\n	(you.pro ((pres must.aux-v) (practice.v (k grammar.n))))
228502	You had better go to the infirmary.\n	(you.pro ((pres had_better.aux-s) (go.v (to.p-arg (the.d infirmary.n)))))
228504	You shouldn't do things by halves.\n	(you.pro ((pres should.aux-s) not (do.v (k (plur thing.n)) (adv-a (by.p (k (plur half.n)))))))
228505	You should pay your rent in advance.\n	(you.pro ((pres should.aux-s) (pay.v (your.d rent.n) (adv-a (in.p (k advance.n))))))
228506	You must keep your room clean.\n	(you.pro ((pres must.aux-v) (keep.v (your.d room.n) clean.a)))
228507	You must take off your hat in the room.\n	(you.pro ((pres must.aux-v) (take.v off.adv-a (your.d hat.n) (adv-a (in.p (the.d room.n))))))
228508	You are wavering.\n	(you.pro ((pres prog) waver.v))
228509	Have you ever climbed Mt. Fuji?\n	((you.pro (ever.adv-s ((pres perf) (climb.v |Mt. Fuji|)))) ?)
228510	Your undaunted spirit will carry you through.\n	((your.d (undaunted.a spirit.n)) ((pres will.aux-s) (carry.v you.pro (adv-a (through.p {it}.pro)))))
228511	You should take care of your sick mother.\n	(you.pro ((pres should.aux-v) (take.v (k care.n) (adv-a (of.p (your.d (sick.a mother.n)))))))
228512	You have to learn standard English.\n	(you.pro (have.v (to (learn.v (standard.a |English|)))))
228515	Have you ever traveled in a plane?\n	((you.pro (ever.adv-s ((pres perf) (travel.v (in.p-arg (a.d plane.n)))))) ?)
228516	I have a feeling you'll be a very good lawyer.\n	(i.pro ((pres have.v) (a.d feeling.n) (tht (you.pro ((pres will.aux-s) (be.v (= (a.d ((very.adv-a good.a) lawyer.n)))))))))
228517	You are idle to the bone.\n	(you.pro ((pres be.v) idle.a (adv-a (to.p (the.d bone.n)))))
228518	Can you keep a secret?\n	(((pres can.aux-s) you.pro (keep.v (a.d secret.n))) ?)
228519	Since you look tired, you had better take a rest.\n	((since.ps (you.pro ((pres look.v) tired.a))) (you.pro ((pres had_better.aux-s) (take.v (a.d rest.n)))))
228522	You are tired, aren't you?\n	((you.pro ((pres be.v) tired.a)) .?)
228523	Are you not tired?\n	((rep (sub (pres be.v *p) (you.pro *h)) (not tired.a)) ?)
228524	You look tired. You ought to rest for an hour or two.\n	((you.pro ((pres look.v) tired.a)) (you.pro ((pres ought.aux-v) (rest.v (adv-a (for.p ((an.d hour.n) or.cc two.pro)))))))
228526	You can rely on him.\n	(you.pro ((pres can.aux-s) (rely.v (on.p-arg him.pro))))
228527	You can rely on her.\n	(you.pro ((pres can.aux-s) (rely.v (on.p-arg her.pro))))
228529	You must not take advantage of her innocence.\n	(you.pro ((pres must.aux-v) not (take.v (k advantage.n) (adv-a (of.p (her.d innocence.n))))))
228530	You should have acted on her advice.\n	(you.pro ((past should.aux-v) ((perf act.v) (on.p-arg (her.d advice.n)))))
228531	You are treading on her corns.\n	(you.pro ((pres prog) (tread.v (adv-a (on.p (her.d (plur corn.n)))))))
228532	I think that you ought to apologize to her.\n	(i.pro ((pres think.v) (that (you.pro ((pres ought.aux-v) (apologize.v (adv-a (to.p her.pro))))))))
228534	Just a minute.\n	(pu (just.adv-s (a.d minute.n)))
228535	You asked after her? What did she say?\n	(((you.pro ((past ask.v) (adv-a (after.p her.pro)))) ?) ((sub what.pro ((past do.aux-s) she.pro (say.v *h))) ?))
228537	Did you meet her?\n	(((past do.aux-s) you.pro (meet.v her.pro)) ?)
228538	Do you want to see her very much?\n	(((past do.aux-s) you.pro (want.v (to (see.v her.pro)) (adv-a (very.adv-a much.a)))) ?)
228539	Did you fall in love with her at first sight?\n	(((past do.aux-s) you.pro (fall.v (in.p-arg (k love.n)) (with.p-arg her.pro) (adv-a (at.p (k (first.a sight.n)))))) ?)
228540	You were taken in by her.\n	(you.pro ((past (pasv take_in.v)) (adv-a (by.p her.pro))))
228541	You told her that you had finished the work three days before.\n	(you.pro ((past tell.v) her.pro (that (you.pro ((pres perf) (finish.v (the.d work.n) (adv-e ({at}.p (three.d (n+preds (plur day.n) (before.p {it}.pro)))))))))))
228579	You should have told him the truth.\n	(You.pro (past should.aux-v (tell.v him.pro (the.d truth.n))))
228580	You should restore the money he lost to him.\n	(You.pro ((pres should.aux-v) \n      (restore.v \n       (the.d (n+preds money.n \n                (sub tht.rel \n                 (he.pro ((past lose.v) *h)))))\n       (to.p-arg him.pro))))
228581	You cannot expect much of him.\n	(You.pro ((pres can.aux-v) not \n          (expect.v \n           ((k much.n) (of.p-arg him.pro)))))
228582	You should tell him the truth.\n	(You.pro ((pres should.aux-v)\n          (tell.v him.pro (the.d truth.n))))
228878	You're coming with us now.\n	(you.pro ((((pres prog) come.v) (with.p-arg us.pro)) now.adv-e))
230471	Be sure to put out the fire before you leave.\n	((((pres be.v) sure.a) (to (put_out.v (the.d fire.n))) (before.adv-e (you.pro leave.v))) !)
231828	Do you like fish?\n	(((pres do.aux-s) (you.pro (like.v (k fish.n))))?)
